sample	read1	read2
normal01	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal01_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal01_INPUT_R2.fastq.gz
normal02	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal02_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal02_INPUT_R2.fastq.gz
normal03	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal03_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal03_INPUT_R2.fastq.gz
normal04	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal04_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal04_INPUT_R2.fastq.gz
normal05	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal05_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal05_INPUT_R2.fastq.gz
normal06	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal06_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal06_INPUT_R2.fastq.gz
normal07	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal07_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal07_INPUT_R2.fastq.gz
normal08	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal08_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal08_INPUT_R2.fastq.gz
normal09	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal09_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal09_INPUT_R2.fastq.gz
normal10	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal10_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/normal10_INPUT_R2.fastq.gz
